L
5
50
//A slightly larger random file for testing
//level 0
(0,0,1,#)
(0,0,3,#)
(0,0,4,#)
(0,0,5,E)
(0,0,6,#)
(0,0,7,#)
(0,0,8,#)
(0,0,9,#)
(0,0,11,#)
(0,0,12,#)
(0,0,13,#)
(0,0,14,#)
(0,0,15,#)
(0,0,17,E)
(0,0,19,E)
(0,0,20,#)
(0,0,22,E)
(0,0,24,E)
(0,0,26,#)
(0,0,28,#)
(0,0,30,#)
(0,0,32,#)
(0,0,34,#)
(0,0,38,#)
(0,0,40,#)
(0,0,42,#)
(0,0,44,#)
(0,0,45,#)
(0,0,47,#)
(0,1,1,#)
(0,1,2,#)
(0,1,5,.)
(0,1,6,#)
(0,1,8,.)
(0,1,9,#)
(0,1,10,#)
(0,1,11,#)
(0,1,12,#)
(0,1,15,#)
(0,1,21,#)
(0,1,23,#)
(0,1,25,#)
(0,1,28,#)
(0,1,30,E)
(0,1,33,E)
(0,1,36,#)
(0,1,42,#)
(0,1,45,#)
(0,1,46,#)
(0,2,1,.)
(0,2,3,#)
(0,2,4,#)
(0,2,5,#)
(0,2,6,#)
(0,2,9,#)
(0,2,10,#)
(0,2,11,E)
(0,2,14,.)
(0,2,17,.)
(0,2,19,#)
(0,2,23,#)
(0,2,24,#)
(0,2,26,#)
(0,2,27,#)
(0,2,31,.)
(0,2,34,#)
(0,2,36,#)
(0,2,37,#)
(0,2,38,#)
(0,2,40,E)
(0,2,47,#)
(0,3,2,#)
(0,3,4,#)
(0,3,5,#)
(0,3,8,E)
(0,3,9,E)
(0,3,10,#)
(0,3,14,#)
(0,3,15,#)
(0,3,16,#)
(0,3,17,E)
(0,3,18,E)
(0,3,19,#)
(0,3,20,#)
(0,3,21,#)
(0,3,24,#)
(0,3,28,#)
(0,3,29,#)
(0,3,31,#)
(0,3,32,E)
(0,3,40,E)
(0,3,41,E)
(0,3,42,#)
(0,3,44,#)
(0,3,47,#)
(0,3,48,#)
(0,3,49,#)
(0,4,0,#)
(0,4,2,E)
(0,4,3,#)
(0,4,4,#)
(0,4,6,E)
(0,4,8,E)
(0,4,10,#)
(0,4,11,E)
(0,4,12,E)
(0,4,17,#)
(0,4,21,#)
(0,4,22,#)
(0,4,26,E)
(0,4,29,.)
(0,4,31,#)
(0,4,32,#)
(0,4,35,#)
(0,4,36,#)
(0,4,39,#)
(0,4,40,#)
(0,4,41,#)
(0,4,43,#)
(0,4,45,E)
(0,5,3,#)
(0,5,10,#)
(0,5,11,#)
(0,5,12,#)
(0,5,13,#)
(0,5,17,#)
(0,5,19,#)
(0,5,22,#)
(0,5,24,#)
(0,5,25,#)
(0,5,26,E)
(0,5,27,.)
(0,5,29,.)
(0,5,32,#)
(0,5,33,.)
(0,5,34,#)
(0,5,35,E)
(0,5,36,#)
(0,5,40,#)
(0,6,1,#)
(0,6,2,E)
(0,6,3,#)
(0,6,6,#)
(0,6,16,E)
(0,6,19,#)
(0,6,22,#)
(0,6,23,#)
(0,6,26,.)
(0,6,27,#)
(0,6,31,.)
(0,6,32,E)
(0,6,42,#)
(0,6,43,#)
(0,6,45,#)
(0,6,47,#)
(0,6,49,#)
(0,7,5,#)
(0,7,9,#)
(0,7,10,#)
(0,7,11,#)
(0,7,12,#)
(0,7,13,.)
(0,7,17,#)
(0,7,18,E)
(0,7,23,#)
(0,7,24,#)
(0,7,26,#)
(0,7,28,#)
(0,7,31,#)
(0,7,33,#)
(0,7,34,#)
(0,7,35,E)
(0,7,36,E)
(0,7,38,#)
(0,7,39,#)
(0,7,42,#)
(0,7,43,E)
(0,7,47,#)
(0,8,1,#)
(0,8,2,E)
(0,8,5,#)
